Service_Line,Passengers,Day_and_Time,Day_of_the_week
Line K,1291,2023-08-06 10:00:00,Sunday
Line L,894,2023-08-06 10:00:00,Sunday
Line M,308,2023-08-06 10:00:00,Sunday
Line O,376,2023-08-06 10:00:00,Sunday
Line P,767,2023-08-06 10:00:00,Sunday
Line T,1828,2023-08-06 10:00:00,Sunday
Line 1,2646,2023-08-07 10:00:00,Monday
Line 2,284,2023-08-07 10:00:00,Monday
Line A,17077,2023-08-07 10:00:00,Monday
Line B,3010,2023-08-07 10:00:00,Monday
Line H,100,2023-08-07 10:00:00,Monday
Line J,856,2023-08-07 10:00:00,Monday
Line K,1265,2023-08-07 10:00:00,Monday
Line L,388,2023-08-07 10:00:00,Monday
Line M,298,2023-08-07 10:00:00,Monday
Line O,391,2023-08-07 10:00:00,Monday
Line P,796,2023-08-07 10:00:00,Monday
Line T,1423,2023-08-07 10:00:00,Monday
Line 1,5183,2023-08-08 10:00:00,Tuesday
Line 2,1234,2023-08-08 10:00:00,Tuesday
Line A,27786,2023-08-08 10:00:00,Tuesday
Line B,10577,2023-08-08 10:00:00,Tuesday
Line H,110,2023-08-08 10:00:00,Tuesday
Line J,798,2023-08-08 10:00:00,Tuesday
Line K,1192,2023-08-08 10:00:00,Tuesday
Line M,414,2023-08-08 10:00:00,Tuesday
Line O,928,2023-08-08 10:00:00,Tuesday
Line P,759,2023-08-08 10:00:00,Tuesday
Line T,2957,2023-08-08 10:00:00,Tuesday
Line 1,4770,2023-08-09 10:00:00,Wednesday
Line 2,1081,2023-08-09 10:00:00,Wednesday
Line A,28368,2023-08-09 10:00:00,Wednesday
Line B,4540,2023-08-09 10:00:00,Wednesday
Line H,111,2023-08-09 10:00:00,Wednesday
Line J,853,2023-08-09 10:00:00,Wednesday
Line K,1109,2023-08-09 10:00:00,Wednesday
Line L,159,2023-08-09 10:00:00,Wednesday
Line M,342,2023-08-09 10:00:00,Wednesday
Line O,895,2023-08-09 10:00:00,Wednesday
Line P,798,2023-08-09 10:00:00,Wednesday
Line T,2458,2023-08-09 10:00:00,Wednesday
Line 1,4868,2023-08-10 10:00:00,Thursday
Line 2,1054,2023-08-10 10:00:00,Thursday
Line A,26222,2023-08-10 10:00:00,Thursday
Line B,4382,2023-08-10 10:00:00,Thursday
Line H,121,2023-08-10 10:00:00,Thursday
Line J,837,2023-08-10 10:00:00,Thursday
Line K,1074,2023-08-10 10:00:00,Thursday
Line L,148,2023-08-10 10:00:00,Thursday
Line M,328,2023-08-10 10:00:00,Thursday
Line O,912,2023-08-10 10:00:00,Thursday
Line P,839,2023-08-10 10:00:00,Thursday
Line T,2503,2023-08-10 10:00:00,Thursday
Line 1,4789,2023-08-11 10:00:00,Friday
Line 2,980,2023-08-11 10:00:00,Friday
Line A,25953,2023-08-11 10:00:00,Friday
Line B,4397,2023-08-11 10:00:00,Friday
Line H,115,2023-08-11 10:00:00,Friday
Line J,781,2023-08-11 10:00:00,Friday
Line K,1102,2023-08-11 10:00:00,Friday
Line L,150,2023-08-11 10:00:00,Friday
Line M,359,2023-08-11 10:00:00,Friday
Line O,1004,2023-08-11 10:00:00,Friday
Line P,879,2023-08-11 10:00:00,Friday
Line T,2570,2023-08-11 10:00:00,Friday
Line 1,4373,2023-08-12 10:00:00,Saturday
Line 2,844,2023-08-12 10:00:00,Saturday
Line A,23406,2023-08-12 10:00:00,Saturday
Line B,4219,2023-08-12 10:00:00,Saturday
Line H,122,2023-08-12 10:00:00,Saturday
Line J,856,2023-08-12 10:00:00,Saturday
Line K,1181,2023-08-12 10:00:00,Saturday
Line L,177,2023-08-12 10:00:00,Saturday
Line M,356,2023-08-12 10:00:00,Saturday
Line O,663,2023-08-12 10:00:00,Saturday
Line P,850,2023-08-12 10:00:00,Saturday
Line T,2403,2023-08-12 10:00:00,Saturday
Line 1,2685,2023-08-13 10:00:00,Sunday
Line 2,590,2023-08-13 10:00:00,Sunday
Line A,12906,2023-08-13 10:00:00,Sunday
Line B,2431,2023-08-13 10:00:00,Sunday
Line H,83,2023-08-13 10:00:00,Sunday
Line J,733,2023-08-13 10:00:00,Sunday
Line K,1016,2023-08-13 10:00:00,Sunday
Line L,346,2023-08-13 10:00:00,Sunday
Line M,233,2023-08-13 10:00:00,Sunday
Line O,381,2023-08-13 10:00:00,Sunday
Line P,605,2023-08-13 10:00:00,Sunday
Line T,1441,2023-08-13 10:00:00,Sunday
Line 1,4654,2023-08-14 10:00:00,Monday
Line 2,1052,2023-08-14 10:00:00,Monday
Line A,25627,2023-08-14 10:00:00,Monday
Line B,4063,2023-08-14 10:00:00,Monday
Line H,111,2023-08-14 10:00:00,Monday
Line J,776,2023-08-14 10:00:00,Monday
Line K,1106,2023-08-14 10:00:00,Monday
Line M,323,2023-08-14 10:00:00,Monday
Line O,855,2023-08-14 10:00:00,Monday
Line P,822,2023-08-14 10:00:00,Monday
Line T,2346,2023-08-14 10:00:00,Monday
Line 1,4560,2023-08-15 10:00:00,Tuesday
Line 2,1077,2023-08-15 10:00:00,Tuesday
Line A,25567,2023-08-15 10:00:00,Tuesday
Line B,4199,2023-08-15 10:00:00,Tuesday
Line H,99,2023-08-15 10:00:00,Tuesday
Line J,802,2023-08-15 10:00:00,Tuesday
Line K,1155,2023-08-15 10:00:00,Tuesday
Line L,205,2023-08-15 10:00:00,Tuesday
Line M,321,2023-08-15 10:00:00,Tuesday
Line O,836,2023-08-15 10:00:00,Tuesday
Line P,795,2023-08-15 10:00:00,Tuesday
Line T,2501,2023-08-15 10:00:00,Tuesday
Line 1,4783,2023-08-16 10:00:00,Wednesday
Line 2,8,2023-08-16 10:00:00,Wednesday
Line A,27366,2023-08-16 10:00:00,Wednesday
Line B,4243,2023-08-16 10:00:00,Wednesday
Line J,810,2023-08-16 10:00:00,Wednesday
Line K,1134,2023-08-16 10:00:00,Wednesday
Line L,131,2023-08-16 10:00:00,Wednesday
Line M,309,2023-08-16 10:00:00,Wednesday
Line O,800,2023-08-16 10:00:00,Wednesday
Line P,758,2023-08-16 10:00:00,Wednesday
Line T,1921,2023-08-16 10:00:00,Wednesday
Line 1,4681,2023-08-17 10:00:00,Thursday
Line 2,1093,2023-08-17 10:00:00,Thursday
Line A,26007,2023-08-17 10:00:00,Thursday
Line B,4296,2023-08-17 10:00:00,Thursday
Line J,744,2023-08-17 10:00:00,Thursday
Line K,1181,2023-08-17 10:00:00,Thursday
Line L,145,2023-08-17 10:00:00,Thursday
Line M,329,2023-08-17 10:00:00,Thursday
Line O,902,2023-08-17 10:00:00,Thursday
Line P,811,2023-08-17 10:00:00,Thursday
Line T,2484,2023-08-17 10:00:00,Thursday
Line 1,4602,2023-08-18 10:00:00,Friday
Line 2,1014,2023-08-18 10:00:00,Friday
Line A,25321,2023-08-18 10:00:00,Friday
Line B,4237,2023-08-18 10:00:00,Friday
Line J,864,2023-08-18 10:00:00,Friday
Line K,1194,2023-08-18 10:00:00,Friday
Line L,124,2023-08-18 10:00:00,Friday
Line M,351,2023-08-18 10:00:00,Friday
Line O,887,2023-08-18 10:00:00,Friday
Line P,839,2023-08-18 10:00:00,Friday
Line T,2605,2023-08-18 10:00:00,Friday
Line 1,4396,2023-08-19 10:00:00,Saturday
Line 2,900,2023-08-19 10:00:00,Saturday
Line A,24898,2023-08-19 10:00:00,Saturday
Line B,4351,2023-08-19 10:00:00,Saturday
Line H,110,2023-08-19 10:00:00,Saturday
Line J,888,2023-08-19 10:00:00,Saturday
Line K,1348,2023-08-19 10:00:00,Saturday
Line L,223,2023-08-19 10:00:00,Saturday
Line M,306,2023-08-19 10:00:00,Saturday
Line O,661,2023-08-19 10:00:00,Saturday
Line P,1,2023-08-19 10:00:00,Saturday
Line T,2314,2023-08-19 10:00:00,Saturday
Line 1,2868,2023-08-20 10:00:00,Sunday
Line 2,544,2023-08-20 10:00:00,Sunday
Line A,15486,2023-08-20 10:00:00,Sunday
Line B,2958,2023-08-20 10:00:00,Sunday
Line H,131,2023-08-20 10:00:00,Sunday
Line J,802,2023-08-20 10:00:00,Sunday
Line K,1260,2023-08-20 10:00:00,Sunday
Line L,539,2023-08-20 10:00:00,Sunday
Line M,308,2023-08-20 10:00:00,Sunday
Line O,435,2023-08-20 10:00:00,Sunday
Line T,1709,2023-08-20 10:00:00,Sunday
Line 1,2042,2023-08-21 10:00:00,Monday
Line 2,285,2023-08-21 10:00:00,Monday
Line A,11613,2023-08-21 10:00:00,Monday
Line B,2098,2023-08-21 10:00:00,Monday
Line H,73,2023-08-21 10:00:00,Monday
Line J,613,2023-08-21 10:00:00,Monday
Line K,801,2023-08-21 10:00:00,Monday
Line L,351,2023-08-21 10:00:00,Monday
Line M,184,2023-08-21 10:00:00,Monday
Line O,311,2023-08-21 10:00:00,Monday
Line T,963,2023-08-21 10:00:00,Monday
Line 1,4916,2023-08-22 10:00:00,Tuesday
Line 2,1152,2023-08-22 10:00:00,Tuesday
Line A,26302,2023-08-22 10:00:00,Tuesday
Line B,4211,2023-08-22 10:00:00,Tuesday
Line H,104,2023-08-22 10:00:00,Tuesday
Line J,821,2023-08-22 10:00:00,Tuesday
Line K,1091,2023-08-22 10:00:00,Tuesday
Line M,346,2023-08-22 10:00:00,Tuesday
Line O,866,2023-08-22 10:00:00,Tuesday
Line P,0,2023-08-22 10:00:00,Tuesday
Line T,2390,2023-08-22 10:00:00,Tuesday
Line 1,4604,2023-08-23 10:00:00,Wednesday
Line 2,1098,2023-08-23 10:00:00,Wednesday
Line A,26064,2023-08-23 10:00:00,Wednesday
Line B,4026,2023-08-23 10:00:00,Wednesday
Line H,89,2023-08-23 10:00:00,Wednesday
Line J,824,2023-08-23 10:00:00,Wednesday
Line K,1148,2023-08-23 10:00:00,Wednesday
Line L,97,2023-08-23 10:00:00,Wednesday
Line M,0,2023-08-23 10:00:00,Wednesday
Line O,855,2023-08-23 10:00:00,Wednesday
Line P,0,2023-08-23 10:00:00,Wednesday
Line T,2167,2023-08-23 10:00:00,Wednesday
Line 1,4660,2023-08-24 10:00:00,Thursday
Line 2,1037,2023-08-24 10:00:00,Thursday
Line A,25088,2023-08-24 10:00:00,Thursday
Line B,4255,2023-08-24 10:00:00,Thursday
Line H,72,2023-08-24 10:00:00,Thursday
Line J,774,2023-08-24 10:00:00,Thursday
Line K,1092,2023-08-24 10:00:00,Thursday
Line L,87,2023-08-24 10:00:00,Thursday
Line M,0,2023-08-24 10:00:00,Thursday
Line O,821,2023-08-24 10:00:00,Thursday
Line P,757,2023-08-24 10:00:00,Thursday
Line T,2216,2023-08-24 10:00:00,Thursday
Line 1,4372,2023-08-25 10:00:00,Friday
Line 2,960,2023-08-25 10:00:00,Friday
Line A,24702,2023-08-25 10:00:00,Friday
Line B,4288,2023-08-25 10:00:00,Friday
Line H,104,2023-08-25 10:00:00,Friday
Line J,792,2023-08-25 10:00:00,Friday
Line K,1112,2023-08-25 10:00:00,Friday
Line L,136,2023-08-25 10:00:00,Friday
Line O,956,2023-08-25 10:00:00,Friday
Line P,790,2023-08-25 10:00:00,Friday
Line T,2083,2023-08-25 10:00:00,Friday
Line 1,4240,2023-08-26 10:00:00,Saturday
Line 2,907,2023-08-26 10:00:00,Saturday
Line A,23405,2023-08-26 10:00:00,Saturday
Line B,4140,2023-08-26 10:00:00,Saturday
Line H,113,2023-08-26 10:00:00,Saturday
Line J,842,2023-08-26 10:00:00,Saturday
Line K,1171,2023-08-26 10:00:00,Saturday
Line L,172,2023-08-26 10:00:00,Saturday
Line M,271,2023-08-26 10:00:00,Saturday
Line O,727,2023-08-26 10:00:00,Saturday
Line P,812,2023-08-26 10:00:00,Saturday
Line T,2224,2023-08-26 10:00:00,Saturday
Line 1,2808,2023-08-27 10:00:00,Sunday
Line 2,576,2023-08-27 10:00:00,Sunday
Line A,14267,2023-08-27 10:00:00,Sunday
Line B,2782,2023-08-27 10:00:00,Sunday
Line H,117,2023-08-27 10:00:00,Sunday
Line J,717,2023-08-27 10:00:00,Sunday
Line K,1139,2023-08-27 10:00:00,Sunday
Line L,263,2023-08-27 10:00:00,Sunday
Line M,270,2023-08-27 10:00:00,Sunday
Line O,400,2023-08-27 10:00:00,Sunday
Line P,632,2023-08-27 10:00:00,Sunday
Line T,1527,2023-08-27 10:00:00,Sunday
Line 1,4337,2023-08-28 10:00:00,Monday
Line 2,1033,2023-08-28 10:00:00,Monday
Line A,24875,2023-08-28 10:00:00,Monday
Line B,3876,2023-08-28 10:00:00,Monday
Line H,101,2023-08-28 10:00:00,Monday
Line J,846,2023-08-28 10:00:00,Monday
Line K,1100,2023-08-28 10:00:00,Monday
Line M,283,2023-08-28 10:00:00,Monday
Line O,749,2023-08-28 10:00:00,Monday
Line P,841,2023-08-28 10:00:00,Monday
Line T,2276,2023-08-28 10:00:00,Monday
Line 1,4447,2023-08-29 10:00:00,Tuesday
Line 2,1085,2023-08-29 10:00:00,Tuesday
Line A,24772,2023-08-29 10:00:00,Tuesday
Line B,4063,2023-08-29 10:00:00,Tuesday
Line H,87,2023-08-29 10:00:00,Tuesday
Line J,754,2023-08-29 10:00:00,Tuesday
Line K,1091,2023-08-29 10:00:00,Tuesday
Line L,94,2023-08-29 10:00:00,Tuesday
Line M,313,2023-08-29 10:00:00,Tuesday
Line O,820,2023-08-29 10:00:00,Tuesday
Line P,737,2023-08-29 10:00:00,Tuesday
Line T,2433,2023-08-29 10:00:00,Tuesday
Line 1,4386,2023-08-30 10:00:00,Wednesday
Line 2,362,2023-08-30 10:00:00,Wednesday
Line A,25074,2023-08-30 10:00:00,Wednesday
Line B,4173,2023-08-30 10:00:00,Wednesday
Line H,104,2023-08-30 10:00:00,Wednesday
Line J,129,2023-08-30 10:00:00,Wednesday
Line K,1126,2023-08-30 10:00:00,Wednesday
Line L,109,2023-08-30 10:00:00,Wednesday
Line M,281,2023-08-30 10:00:00,Wednesday
Line O,846,2023-08-30 10:00:00,Wednesday
Line P,748,2023-08-30 10:00:00,Wednesday
Line T,2278,2023-08-30 10:00:00,Wednesday
Line 1,4733,2023-08-31 10:00:00,Thursday
Line 2,1058,2023-08-31 10:00:00,Thursday
Line A,25390,2023-08-31 10:00:00,Thursday
Line B,4048,2023-08-31 10:00:00,Thursday
Line H,96,2023-08-31 10:00:00,Thursday
Line J,838,2023-08-31 10:00:00,Thursday
Line K,1134,2023-08-31 10:00:00,Thursday
Line L,104,2023-08-31 10:00:00,Thursday
Line M,327,2023-08-31 10:00:00,Thursday
Line O,855,2023-08-31 10:00:00,Thursday
Line P,771,2023-08-31 10:00:00,Thursday
Line T,2423,2023-08-31 10:00:00,Thursday
Line 1,4863,2023-09-01 10:00:00,Friday
Line 2,1114,2023-09-01 10:00:00,Friday
Line A,25631,2023-09-01 10:00:00,Friday
Line B,4130,2023-09-01 10:00:00,Friday
Line H,98,2023-09-01 10:00:00,Friday
Line J,820,2023-09-01 10:00:00,Friday
Line K,1131,2023-09-01 10:00:00,Friday
Line L,67,2023-09-01 10:00:00,Friday
Line M,317,2023-09-01 10:00:00,Friday
Line O,858,2023-09-01 10:00:00,Friday
Line P,731,2023-09-01 10:00:00,Friday
Line T,2431,2023-09-01 10:00:00,Friday
Line 1,4652,2023-09-02 10:00:00,Saturday
Line 2,973,2023-09-02 10:00:00,Saturday
Line A,24916,2023-09-02 10:00:00,Saturday
Line B,4290,2023-09-02 10:00:00,Saturday
Line H,104,2023-09-02 10:00:00,Saturday
Line J,938,2023-09-02 10:00:00,Saturday
Line K,1220,2023-09-02 10:00:00,Saturday
Line L,186,2023-09-02 10:00:00,Saturday
Line M,309,2023-09-02 10:00:00,Saturday
Line O,665,2023-09-02 10:00:00,Saturday
Line P,835,2023-09-02 10:00:00,Saturday
Line T,2408,2023-09-02 10:00:00,Saturday
Line 1,2687,2023-09-03 10:00:00,Sunday
Line 2,71,2023-09-03 10:00:00,Sunday
Line A,16810,2023-09-03 10:00:00,Sunday
Line B,2753,2023-09-03 10:00:00,Sunday
Line H,88,2023-09-03 10:00:00,Sunday
Line J,731,2023-09-03 10:00:00,Sunday
Line K,1212,2023-09-03 10:00:00,Sunday
Line L,357,2023-09-03 10:00:00,Sunday
Line M,297,2023-09-03 10:00:00,Sunday
Line O,409,2023-09-03 10:00:00,Sunday
Line P,684,2023-09-03 10:00:00,Sunday
Line T,1708,2023-09-03 10:00:00,Sunday
Line 1,4559,2023-09-04 10:00:00,Monday
Line 2,1118,2023-09-04 10:00:00,Monday
Line A,25586,2023-09-04 10:00:00,Monday
Line B,4204,2023-09-04 10:00:00,Monday
Line H,109,2023-09-04 10:00:00,Monday
Line J,813,2023-09-04 10:00:00,Monday
Line K,1131,2023-09-04 10:00:00,Monday
Line M,305,2023-09-04 10:00:00,Monday
Line O,757,2023-09-04 10:00:00,Monday
Line P,713,2023-09-04 10:00:00,Monday
Line T,2250,2023-09-04 10:00:00,Monday
Line 1,4631,2023-09-05 10:00:00,Tuesday
Line 2,1147,2023-09-05 10:00:00,Tuesday
Line A,25588,2023-09-05 10:00:00,Tuesday
Line B,4119,2023-09-05 10:00:00,Tuesday
Line H,118,2023-09-05 10:00:00,Tuesday
Line J,732,2023-09-05 10:00:00,Tuesday
Line K,1054,2023-09-05 10:00:00,Tuesday
Line L,119,2023-09-05 10:00:00,Tuesday
Line M,285,2023-09-05 10:00:00,Tuesday
Line O,815,2023-09-05 10:00:00,Tuesday
Line P,825,2023-09-05 10:00:00,Tuesday
Line T,2312,2023-09-05 10:00:00,Tuesday
Line 1,4666,2023-09-06 10:00:00,Wednesday
Line 2,1055,2023-09-06 10:00:00,Wednesday
Line A,25430,2023-09-06 10:00:00,Wednesday
Line B,4080,2023-09-06 10:00:00,Wednesday
Line H,103,2023-09-06 10:00:00,Wednesday
Line J,789,2023-09-06 10:00:00,Wednesday
Line K,1047,2023-09-06 10:00:00,Wednesday
Line L,90,2023-09-06 10:00:00,Wednesday
Line M,294,2023-09-06 10:00:00,Wednesday
Line O,839,2023-09-06 10:00:00,Wednesday
Line P,792,2023-09-06 10:00:00,Wednesday
Line T,2360,2023-09-06 10:00:00,Wednesday
Line 1,4693,2023-09-07 10:00:00,Thursday
Line 2,1046,2023-09-07 10:00:00,Thursday
Line A,25219,2023-09-07 10:00:00,Thursday
Line B,4265,2023-09-07 10:00:00,Thursday
Line H,100,2023-09-07 10:00:00,Thursday
Line J,730,2023-09-07 10:00:00,Thursday
Line K,1158,2023-09-07 10:00:00,Thursday
Line L,102,2023-09-07 10:00:00,Thursday
Line M,296,2023-09-07 10:00:00,Thursday
Line O,842,2023-09-07 10:00:00,Thursday
Line P,779,2023-09-07 10:00:00,Thursday
Line T,2430,2023-09-07 10:00:00,Thursday
Line 1,4487,2023-09-08 10:00:00,Friday
Line 2,1008,2023-09-08 10:00:00,Friday
Line A,25038,2023-09-08 10:00:00,Friday
Line B,4219,2023-09-08 10:00:00,Friday
Line H,112,2023-09-08 10:00:00,Friday
Line J,817,2023-09-08 10:00:00,Friday
Line K,1130,2023-09-08 10:00:00,Friday
Line L,113,2023-09-08 10:00:00,Friday
Line M,326,2023-09-08 10:00:00,Friday
Line O,814,2023-09-08 10:00:00,Friday
Line P,791,2023-09-08 10:00:00,Friday
Line T,2407,2023-09-08 10:00:00,Friday
Line 1,4311,2023-09-09 10:00:00,Saturday
Line 2,844,2023-09-09 10:00:00,Saturday
Line A,23696,2023-09-09 10:00:00,Saturday
Line B,4119,2023-09-09 10:00:00,Saturday
Line H,122,2023-09-09 10:00:00,Saturday
Line J,847,2023-09-09 10:00:00,Saturday
Line K,1222,2023-09-09 10:00:00,Saturday
Line L,208,2023-09-09 10:00:00,Saturday
Line M,312,2023-09-09 10:00:00,Saturday
Line O,691,2023-09-09 10:00:00,Saturday
Line P,829,2023-09-09 10:00:00,Saturday
Line T,2253,2023-09-09 10:00:00,Saturday
Line 1,2738,2023-09-10 10:00:00,Sunday
Line 2,492,2023-09-10 10:00:00,Sunday
Line A,14016,2023-09-10 10:00:00,Sunday
Line B,2648,2023-09-10 10:00:00,Sunday
Line H,106,2023-09-10 10:00:00,Sunday
Line J,787,2023-09-10 10:00:00,Sunday
Line K,1156,2023-09-10 10:00:00,Sunday
Line L,436,2023-09-10 10:00:00,Sunday
Line M,303,2023-09-10 10:00:00,Sunday
Line O,392,2023-09-10 10:00:00,Sunday
Line P,659,2023-09-10 10:00:00,Sunday
Line T,1491,2023-09-10 10:00:00,Sunday
Line 1,4610,2023-09-11 10:00:00,Monday
Line 2,1025,2023-09-11 10:00:00,Monday
Line A,25062,2023-09-11 10:00:00,Monday
Line B,4022,2023-09-11 10:00:00,Monday
Line H,90,2023-09-11 10:00:00,Monday
Line J,814,2023-09-11 10:00:00,Monday
Line K,1159,2023-09-11 10:00:00,Monday
Line M,289,2023-09-11 10:00:00,Monday
Line O,815,2023-09-11 10:00:00,Monday
Line P,826,2023-09-11 10:00:00,Monday
Line T,2396,2023-09-11 10:00:00,Monday
Line 1,4508,2023-09-12 10:00:00,Tuesday
Line 2,1085,2023-09-12 10:00:00,Tuesday
Line A,25245,2023-09-12 10:00:00,Tuesday
Line B,4142,2023-09-12 10:00:00,Tuesday
Line H,106,2023-09-12 10:00:00,Tuesday
Line J,750,2023-09-12 10:00:00,Tuesday
Line K,1173,2023-09-12 10:00:00,Tuesday
Line L,102,2023-09-12 10:00:00,Tuesday
Line M,316,2023-09-12 10:00:00,Tuesday
Line O,841,2023-09-12 10:00:00,Tuesday
Line P,824,2023-09-12 10:00:00,Tuesday
Line T,2336,2023-09-12 10:00:00,Tuesday
Line 1,4590,2023-09-13 10:00:00,Wednesday
Line 2,1041,2023-09-13 10:00:00,Wednesday
Line A,24992,2023-09-13 10:00:00,Wednesday
Line B,4093,2023-09-13 10:00:00,Wednesday
Line H,83,2023-09-13 10:00:00,Wednesday
Line J,812,2023-09-13 10:00:00,Wednesday
Line K,1055,2023-09-13 10:00:00,Wednesday
Line L,120,2023-09-13 10:00:00,Wednesday
Line M,319,2023-09-13 10:00:00,Wednesday
Line O,935,2023-09-13 10:00:00,Wednesday
Line P,779,2023-09-13 10:00:00,Wednesday
Line T,2392,2023-09-13 10:00:00,Wednesday
Line 1,4601,2023-09-14 10:00:00,Thursday
Line 2,1004,2023-09-14 10:00:00,Thursday
Line A,24737,2023-09-14 10:00:00,Thursday
Line B,4125,2023-09-14 10:00:00,Thursday
Line H,113,2023-09-14 10:00:00,Thursday
Line J,725,2023-09-14 10:00:00,Thursday
Line K,1107,2023-09-14 10:00:00,Thursday
Line L,75,2023-09-14 10:00:00,Thursday
Line M,264,2023-09-14 10:00:00,Thursday
Line O,847,2023-09-14 10:00:00,Thursday
Line P,770,2023-09-14 10:00:00,Thursday
Line T,2096,2023-09-14 10:00:00,Thursday
Line 1,4725,2023-09-15 10:00:00,Friday
Line 2,1063,2023-09-15 10:00:00,Friday
Line A,25407,2023-09-15 10:00:00,Friday
Line B,4392,2023-09-15 10:00:00,Friday
Line H,82,2023-09-15 10:00:00,Friday
Line J,786,2023-09-15 10:00:00,Friday
Line K,1143,2023-09-15 10:00:00,Friday
Line L,162,2023-09-15 10:00:00,Friday
Line M,288,2023-09-15 10:00:00,Friday
Line O,878,2023-09-15 10:00:00,Friday
Line P,836,2023-09-15 10:00:00,Friday
Line T,2450,2023-09-15 10:00:00,Friday
Line 1,4193,2023-09-16 10:00:00,Saturday
Line 2,865,2023-09-16 10:00:00,Saturday
Line A,24919,2023-09-16 10:00:00,Saturday
Line B,4518,2023-09-16 10:00:00,Saturday
Line H,124,2023-09-16 10:00:00,Saturday
Line J,942,2023-09-16 10:00:00,Saturday
Line K,1353,2023-09-16 10:00:00,Saturday
Line L,198,2023-09-16 10:00:00,Saturday
Line M,363,2023-09-16 10:00:00,Saturday
Line O,703,2023-09-16 10:00:00,Saturday
Line P,913,2023-09-16 10:00:00,Saturday
Line T,2478,2023-09-16 10:00:00,Saturday
Line 1,2997,2023-09-17 10:00:00,Sunday
Line 2,467,2023-09-17 10:00:00,Sunday
Line A,14721,2023-09-17 10:00:00,Sunday
Line B,2805,2023-09-17 10:00:00,Sunday
Line H,106,2023-09-17 10:00:00,Sunday
Line J,771,2023-09-17 10:00:00,Sunday
Line K,1124,2023-09-17 10:00:00,Sunday
Line L,291,2023-09-17 10:00:00,Sunday
Line M,198,2023-09-17 10:00:00,Sunday
Line O,422,2023-09-17 10:00:00,Sunday
Line P,651,2023-09-17 10:00:00,Sunday
Line T,1611,2023-09-17 10:00:00,Sunday
Line 1,4609,2023-09-18 10:00:00,Monday
Line 2,1075,2023-09-18 10:00:00,Monday
Line A,25061,2023-09-18 10:00:00,Monday
Line B,3936,2023-09-18 10:00:00,Monday
Line H,113,2023-09-18 10:00:00,Monday
Line J,798,2023-09-18 10:00:00,Monday
Line K,1173,2023-09-18 10:00:00,Monday
Line M,301,2023-09-18 10:00:00,Monday
Line O,839,2023-09-18 10:00:00,Monday
Line P,747,2023-09-18 10:00:00,Monday
Line T,2300,2023-09-18 10:00:00,Monday
Line 1,4564,2023-09-19 10:00:00,Tuesday
Line 2,1029,2023-09-19 10:00:00,Tuesday
Line A,25131,2023-09-19 10:00:00,Tuesday
Line B,3878,2023-09-19 10:00:00,Tuesday
Line H,92,2023-09-19 10:00:00,Tuesday
Line J,785,2023-09-19 10:00:00,Tuesday
Line K,1074,2023-09-19 10:00:00,Tuesday
Line L,125,2023-09-19 10:00:00,Tuesday
Line M,316,2023-09-19 10:00:00,Tuesday
Line O,797,2023-09-19 10:00:00,Tuesday
Line P,786,2023-09-19 10:00:00,Tuesday
Line T,2459,2023-09-19 10:00:00,Tuesday
Line 1,4568,2023-09-20 10:00:00,Wednesday
Line 2,1039,2023-09-20 10:00:00,Wednesday
Line A,24396,2023-09-20 10:00:00,Wednesday
Line B,4005,2023-09-20 10:00:00,Wednesday
Line H,98,2023-09-20 10:00:00,Wednesday
Line J,832,2023-09-20 10:00:00,Wednesday
Line K,1027,2023-09-20 10:00:00,Wednesday
Line L,120,2023-09-20 10:00:00,Wednesday
Line M,296,2023-09-20 10:00:00,Wednesday
Line O,884,2023-09-20 10:00:00,Wednesday
Line P,807,2023-09-20 10:00:00,Wednesday
Line T,2314,2023-09-20 10:00:00,Wednesday
Line 1,4607,2023-09-21 10:00:00,Thursday
Line 2,17,2023-09-21 10:00:00,Thursday
Line A,25405,2023-09-21 10:00:00,Thursday
Line B,4103,2023-09-21 10:00:00,Thursday
Line H,120,2023-09-21 10:00:00,Thursday
Line J,864,2023-09-21 10:00:00,Thursday
Line K,1137,2023-09-21 10:00:00,Thursday
